weaks,revenue
2020-07-05,4119230769231
2020-07-12,4300961538461
2020-07-19,4482692307692
2020-07-26,4664423076923
2020-08-02,4846153846154
2020-08-09,5027884615385
2020-08-16,5209615384615
2020-08-23,5391346153846
2020-08-30,5573076923077
2020-09-06,5850000000000
2020-09-13,6023076923077
2020-09-20,6196153846154
2020-09-27,6369230769231
2020-10-04,6542307692308
2020-10-11,6715384615384
2020-10-18,6888461538461
2020-10-25,7061538461538
2020-11-01,7234615384615
2020-11-08,7407692307692
2020-11-15,7580769230769
2020-11-22,7753846153846
2020-11-29,7926923076923
2020-12-06,8316346153846
2020-12-13,8662500000000
2020-12-20,9008653846154
2020-12-27,9521115384615
2021-01-03,352307692308
2021-01-10,484423076923
2021-01-17,616538461538
2021-01-24,748653846154
2021-01-31,880769230769
2021-02-07,1012884615385
2021-02-14,1145000000000
2021-02-21,1277115384615
2021-02-28,1409230769231
2021-03-07,1598596153846
2021-03-14,1774750000000
2021-03-21,1950903846154
2021-03-28,2127057692308
2021-04-04,2303211538461
2021-04-11,2479365384615
2021-04-18,2655519230769
2021-04-25,2831673076923
2021-05-02,3007826923077
2021-05-09,3183980769231
2021-05-16,3360134615384
2021-05-23,3536288461538
2021-05-30,3712442307692
2021-06-06,3857769230769
2021-06-13,3998692307692
2021-06-20,4139615384615
2021-06-27,4280538461538
2021-07-04,4421461538461
2021-07-11,4562384615384
2021-07-18,4703307692308
2021-07-25,4844230769231
2021-08-01,4985153846154
2021-08-08,5126076923077
2021-08-15,5267000000000
2021-08-22,5407923076923
2021-08-29,5548846153846
2021-09-05,5698576923077
2021-09-12,5909961538461
2021-09-19,6121346153846
2021-09-26,6332730769231
2021-10-03,6544115384615
2021-10-10,6755500000000
2021-10-17,6966884615384
2021-10-24,7178269230769
2021-10-31,7389653846154
2021-11-07,7601038461538
2021-11-14,7812423076923
2021-11-21,8023807692307
2021-11-28,8235192307692
2021-12-05,8420153846154
2021-12-12,8596307692307
2021-12-19,8772461538461
2021-12-26,8948615384615
